,0,1,2,3
657,0.0,4.98,0.0,4.73
658,0.0,4.97,0.32,4.95
659,0.0,4.52,0.13,4.96
660,0.0,5.0,0.19,4.56
661,0.54,5.0,0.24,4.81
662,0.0,5.0,0.0,5.0
663,0.0,4.53,0.0,4.99
664,0.0,4.28,0.56,4.71
665,0.36,5.0,0.28,4.56
666,0.0,4.36,0.37,3.93
667,0.0,5.0,0.02,4.45
668,0.16,4.81,0.0,4.8
669,0.0,5.0,0.0,5.0
670,0.0,5.0,0.0,4.7
671,0.0,5.0,0.0,5.0
672,0.51,5.0,0.45,4.5
673,0.29,5.0,0.31,4.68
674,0.0,5.0,0.01,4.93
675,0.0,5.0,0.47,4.43
676,0.0,4.27,0.09,4.82
677,0.21,3.24,0.65,4.56
678,0.0,5.0,0.0,4.73
679,0.09,5.0,0.0,5.0
680,0.0,4.58,0.0,4.71
681,0.07,4.58,0.26,4.96
682,0.0,4.27,0.0,4.65
683,0.63,5.0,0.0,4.75
684,0.0,5.0,0.34,4.4
685,0.69,5.0,0.07,4.53
686,0.0,5.0,0.01,5.0
687,0.0,5.0,0.45,5.0
688,0.64,4.95,0.11,5.0
689,0.0,4.5,0.17,4.3
690,0.03,4.54,0.0,4.5
691,0.04,4.98,0.0,5.0
692,0.0,5.0,0.4,4.78
693,0.0,4.81,0.0,5.0
694,0.0,5.0,0.07,5.0
695,0.06,4.59,0.0,5.0
696,0.0,4.42,0.06,4.98
697,0.0,4.65,0.14,4.26
698,0.01,4.23,0.28,5.0
699,0.29,5.0,0.1,5.0
700,0.02,3.12,0.31,4.5
701,0.07,2.62,0.29,3.98
702,0.0,2.79,0.0,3.64
703,0.0,3.16,0.0,3.77
704,0.0,2.44,0.0,4.53
705,0.12,3.45,0.0,3.96
706,0.07,2.94,0.02,4.04
707,0.19,2.45,0.0,4.21
708,0.0,2.93,0.0,3.13
709,0.0,3.19,0.74,3.24
710,0.0,3.42,0.02,3.27
711,0.0,2.93,0.0,2.77
712,0.15,2.69,0.0,2.84
713,0.0,2.74,0.26,3.33
714,0.0,2.98,0.78,3.34
715,0.11,3.28,0.08,2.75
716,0.37,2.42,0.6,3.24
717,0.0,2.77,0.17,2.78
718,0.28,3.06,0.11,3.16
719,0.0,3.04,0.45,2.44
720,0.73,2.78,0.0,4.68
